team_two,match_number,start_time,team_one
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDEM,2012-04-04 20:00:00,team_chennai
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDIM,2012-04-05 20:00:00,team_kolkata
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDMM,2012-04-06 16:00:00,team_mumbai
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDQM,2012-04-06 20:00:00,team_rajasthan
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDUM,2012-04-07 16:00:00,team_bangalore
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDYM,2012-04-07 20:00:00,team_hyderabad
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDcM,2012-04-08 16:00:00,team_rajasthan
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDgM,2012-04-08 20:00:00,team_pune
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMDkM,2012-04-09 20:00:00,team_hyderabad
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTAM,2012-04-10 16:00:00,team_bangalore
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTEM,2012-04-10 20:00:00,team_delhi
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTIM,2012-04-11 20:00:00,team_mumbai
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTMM,2012-04-12 16:00:00,team_chennai
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTQM,2012-04-12 20:00:00,team_punjab
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTUM,2012-04-13 20:00:00,team_kolkata
team_chennai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTYM,2012-04-14 20:00:00,team_pune
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTcM,2012-04-15 16:00:00,team_kolkata
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTgM,2012-04-15 20:00:00,team_bangalore
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMTkM,2012-04-16 20:00:00,team_mumbai
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjAM,2012-04-17 16:00:00,team_rajasthan
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjEM,2012-04-17 20:00:00,team_bangalore
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjIM,2012-04-18 20:00:00,team_punjab
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjMM,2012-04-19 16:00:00,team_delhi
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjQM,2012-04-19 20:00:00,team_chennai
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjUM,2012-04-20 20:00:00,team_punjab
team_rajasthan,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjYM,2012-04-21 16:00:00,team_chennai
team_pune,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjcM,2012-04-21 20:00:00,team_delhi
team_punjab,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjgM,2012-04-22 16:00:00,team_mumbai
team_kolkata,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMjkM,2012-04-22 20:00:00,team_hyderabad
team_bangalore,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMzAM,2012-04-23 20:00:00,team_rajasthan
team_delhi,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMzEM,2012-04-24 16:00:00,team_pune
team_hyderabad,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMzIM,2012-04-24 20:00:00,team_kolkata
team_mumbai,agpkZXZ-Y3AtZGV2chMLEgVNYXRjaCIIbWF0Y2hfMzMM,2012-04-25 16:00:00,team_punjab
