role,name,key,team
Top-order batsman,Sourav Ganguly,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDEM,team_pune
Wicketkeeper,Eklavya Diwedi,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDIM,team_pune
Middle-order batsman,Michael Clarke,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDMM,team_pune
Bowler,Ashok Dinda,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDQM,team_pune
Middle-order batsman,Callum Ferguson,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDUM,team_pune
Allrounder,Raiphi Gomez,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDYM,team_pune
Batsman,Harpreet Singh,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDcM,team_pune
Allrounder,James Hopes,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDgM,team_pune
Batsman,Dheeraj Jadhav,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMDkM,team_pune
Bowler,Kamran Khan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTAM,team_pune
Bowler,Murali Kartik,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTEM,team_pune
Opening batsman,Harshad Khadiwale,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTIM,team_pune
Bowler,Bhuvneshwar Kumar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTMM,team_pune
Bowler,Nathan McCullum,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTQM,team_pune
Batsman,Anustup Majumdar,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTUM,team_pune
Allrounder,Mithun Manhas,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTYM,team_pune
Allrounder,Angelo Mathews,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTcM,team_pune
Batsman,Mohnish  Mishra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTgM,team_pune
Bowler,Ali Murtaza,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMTkM,team_pune
Bowler,Ashish Nehra,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjAM,team_pune
Top-order batsman,Manish Pandey,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjEM,team_pune
Bowler,Wayne Parnell,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjIM,team_pune
Bowler,Sachin Rana,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjMM,team_pune
Allrounder,Jesse Ryder,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjQM,team_pune
Batsman,Marlon Samuels,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjUM,team_pune
Bowler,Rahul Sharma,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjYM,team_pune
Opening batsman,Graeme Smith,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8wMjcM,team_pune
