team_two,match_number,start_time,team_one
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMQw,2012-04-04 20:00:00,team_chennai
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMgw,2012-04-05 20:00:00,team_kolkata
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMww,2012-04-06 16:00:00,team_mumbai
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNAw,2012-04-06 20:00:00,team_rajasthan
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNQw,2012-04-07 16:00:00,team_bangalore
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNgw,2012-04-07 20:00:00,team_hyderabad
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNww,2012-04-08 16:00:00,team_rajasthan
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wOAw,2012-04-08 20:00:00,team_pune
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wOQw,2012-04-09 20:00:00,team_hyderabad
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMAw,2012-04-10 16:00:00,team_bangalore
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMQw,2012-04-10 20:00:00,team_delhi
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMgw,2012-04-11 20:00:00,team_mumbai
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMww,2012-04-12 16:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNAw,2012-04-12 20:00:00,team_punjab
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNQw,2012-04-13 20:00:00,team_kolkata
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNgw,2012-04-14 20:00:00,team_pune
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNww,2012-04-15 16:00:00,team_kolkata
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xOAw,2012-04-15 20:00:00,team_bangalore
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xOQw,2012-04-16 20:00:00,team_mumbai
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMAw,2012-04-17 16:00:00,team_rajasthan
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMQw,2012-04-17 20:00:00,team_bangalore
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMgw,2012-04-18 20:00:00,team_punjab
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMww,2012-04-19 16:00:00,team_delhi
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNAw,2012-04-19 20:00:00,team_chennai
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNQw,2012-04-20 20:00:00,team_punjab
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNgw,2012-04-21 16:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNww,2012-04-21 20:00:00,team_delhi
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yOAw,2012-04-22 16:00:00,team_mumbai
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yOQw,2012-04-22 20:00:00,team_hyderabad
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMAw,2012-04-23 20:00:00,team_rajasthan
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMQw,2012-04-24 16:00:00,team_pune
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMgw,2012-04-24 20:00:00,team_kolkata
