role,name,key,team
Top-order batsman,Sourav Ganguly,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwMQw,team_pune
Wicketkeeper,Eklavya Diwedi,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwMgw,team_pune
Middle-order batsman,Michael Clarke,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwMww,team_pune
Bowler,Ashok Dinda,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwNAw,team_pune
Middle-order batsman,Callum Ferguson,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwNQw,team_pune
Allrounder,Raiphi Gomez,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwNgw,team_pune
Batsman,Harpreet Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwNww,team_pune
Allrounder,James Hopes,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwOAw,team_pune
Batsman,Dheeraj Jadhav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAwOQw,team_pune
Bowler,Kamran Khan,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxMAw,team_pune
Bowler,Murali Kartik,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxMQw,team_pune
Opening batsman,Harshad Khadiwale,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxMgw,team_pune
Bowler,Bhuvneshwar Kumar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxMww,team_pune
Bowler,Nathan McCullum,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxNAw,team_pune
Batsman,Anustup Majumdar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxNQw,team_pune
Allrounder,Mithun Manhas,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxNgw,team_pune
Allrounder,Angelo Mathews,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxNww,team_pune
Batsman,Mohnish  Mishra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxOAw,team_pune
Bowler,Ali Murtaza,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAxOQw,team_pune
Bowler,Ashish Nehra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAyMAw,team_pune
Top-order batsman,Manish Pandey,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzAyMQw,team_pune
