match_keyname,player_keyname,player_name,runs,sixes,wickets,team_one_or_two
match_13,player_189,MS Dhoni,41,2,0,team-one
match_13,player_191,Ravichandran Ashwin,-1,0,0,team-one
match_13,player_192,Subramaniam Badrinath,-1,0,0,team-one
match_13,player_194,Doug Bollinger,-1,0,3,team-one
match_13,player_195,Dwayne Bravo,25,1,0,team-one
match_13,player_196,Faf du Plessis,71,4,0,team-one
match_13,player_199,Ravindra Jadeja,4,0,2,team-one
match_13,player_200,Shadab Jakati,-1,0,0,team-one
match_13,player_205,Albie Morkel,28,3,2,team-one
match_13,player_207,Suresh Raina,23,1,0,team-one
match_13,player_213,Murali Vijay,11,0,0,team-one
match_13,player_214,Daniel Vettori,1,0,0,team-two
match_13,player_215,Mayank Agarwal,45,3,0,team-two
match_13,player_219,Raju Bhatkal,0,0,0,team-two
match_13,player_220,AB de Villiers,4,0,0,team-two
match_13,player_223,Chris Gayle,68,6,0,team-two
match_13,player_226,Zaheer Khan,-1,0,1,team-two
match_13,player_227,Virat Kohli,57,2,0,team-two
match_13,player_231,Muttiah Muralitharan,-1,0,3,team-two
match_13,player_238,Cheteshwar Pujara,0,0,0,team-two
match_13,player_241,Saurabh Tiwary,8,0,0,team-two
match_13,player_242,Vinay Kumar,6,1,1,team-two
