"id","name","role","team"
"001","Sourav Ganguly","Top-order batsman","team_pune"
"002","Eklavya Diwedi","Wicketkeeper","team_pune"
"003","Michael Clarke","Middle-order batsman","team_pune"
"004","Ashok Dinda","Bowler","team_pune"
"005","Callum Ferguson","Middle-order batsman","team_pune"
"006","Raiphi Gomez","Allrounder","team_pune"
"007","Harpreet Singh","Batsman","team_pune"
"008","James Hopes","Allrounder","team_pune"
"009","Dheeraj Jadhav","Batsman","team_pune"
"010","Kamran Khan","Bowler","team_pune"
"011","Murali Kartik","Bowler","team_pune"
"012","Harshad Khadiwale","Opening batsman","team_pune"
"013","Bhuvneshwar Kumar","Bowler","team_pune"
"014","Nathan McCullum","Bowler","team_pune"
"015","Anustup Majumdar","Batsman","team_pune"
"016","Mithun Manhas","Allrounder","team_pune"
"017","Angelo Mathews","Allrounder","team_pune"
"018","Mohnish  Mishra","Batsman","team_pune"
"019","Ali Murtaza","Bowler","team_pune"
"020","Ashish Nehra","Bowler","team_pune"
"021","Manish Pandey","Top-order batsman","team_pune"
"022","Wayne Parnell","Bowler","team_pune"
"023","Sachin Rana","Bowler","team_pune"
"024","Jesse Ryder","Allrounder","team_pune"
"025","Marlon Samuels","Batsman","team_pune"
"026","Rahul Sharma","Bowler","team_pune"
"027","Graeme Smith","Opening batsman","team_pune"
"028","Steven Smith","Allrounder","team_pune"
"029","Alfonso Thomas","Bowler","team_pune"
"030","Krishnakant  Upadhyay","Bowler","team_pune"
"031","Robin Uthappa","Batsman","team_pune"
"032","Shrikant Wagh","Allrounder","team_pune"
"033","Luke Wright","Allrounder","team_pune"
"034","Yuvraj Singh","Middle-order batsman","team_pune"
"035","Mitchell Marsh","Top-order batsman","team_pune"
"036","Virender Sehwag","Top-order batsman","team_delhi"
"037","Manprit Juneja","Batsman","team_delhi"
"038","Varun Aaron","Bowler","team_delhi"
"039","Ajit Agarkar","Bowler","team_delhi"
"040","Puneet Bisht","Batsman","team_delhi"
"041","Robin Bist","Middle-order batsman","team_delhi"
"042","Gulam Bodi","Batsman","team_delhi"
"043","Doug Bracewell","Bowler","team_delhi"
"044","Unmukt Chand","Top-order batsman","team_delhi"
"045","Aaron Finch","Top-order batsman","team_delhi"
"046","Mahela Jayawardene","Batsman","team_delhi"
"047","Glenn Maxwell","Allrounder","team_delhi"
"048","Morne Morkel","Bowler","team_delhi"
"049","Shahbaz Nadeem","Bowler","team_delhi"
"050","Yogesh Nagar","Allrounder","team_delhi"
"051","Prashant Naik","Middle-order batsman","team_delhi"
"052","Pawan Negi","Allrounder","team_delhi"
"053","Naman Ojha","Wicketkeeper batsman","team_delhi"
"054","Irfan Pathan","Allrounder","team_delhi"
"055","Kevin Pietersen","Top-order batsman","team_delhi"
"056","Kuldeep Raval","Batsman","team_delhi"
"057","Andre Russell","Allrounder","team_delhi"
"058","Aavishkar Salvi","Bowler","team_delhi"
"059","Ross Taylor","Middle-order batsman","team_delhi"
"060","Roelof van der Merwe","Allrounder","team_delhi"
"061","Venugopal Rao","Middle-order batsman","team_delhi"
"062","Vikas Mishra","Bowler","team_delhi"
"063","David Warner","Opening batsman","team_delhi"
"064","Tejashwi Yadav","Middle-order batsman","team_delhi"
"065","Umesh Yadav","Bowler","team_delhi"
"066","Travis Birt","Middle-order batsman","team_delhi"
"067","Colin Ingram","Top-order batsman","team_delhi"
"068","Adam Gilchrist","Wicketkeeper batsman","team_punjab"
"069","Parvinder Awana","Bowler","team_punjab"
"070","Love Ablish","Bowler","team_punjab"
"071","Amit Yadav","Allrounder","team_punjab"
"072","Azhar Mahmood","Allrounder","team_punjab"
"073","Bhargav Bhatt","Bowler","team_punjab"
"074","Bipul Sharma","Allrounder","team_punjab"
"075","Stuart Broad","Bowler","team_punjab"
"076","Piyush Chawla","Allrounder","team_punjab"
"077","Siddharth Chitnis","Batsman","team_punjab"
"078","Paras Dogra","Batsman","team_punjab"
"079","James Faulkner","Allrounder","team_punjab"
"080","Harmeet Singh","Bowler","team_punjab"
"081","Ryan Harris","Bowler","team_punjab"
"082","David Hussey","Allrounder","team_punjab"
"083","Praveen Kumar","Bowler","team_punjab"
"084","Vikramjeet Malik","Bowler","team_punjab"
"085","Mandeep Singh","Allrounder","team_punjab"
"086","Shaun Marsh","Top-order batsman","team_punjab"
"087","Dimitri Mascarenhas","Allrounder","team_punjab"
"088","David Miller","Middle-order batsman","team_punjab"
"089","Abhishek Nayar","Allrounder","team_punjab"
"090","Ramesh Powar","Bowler","team_punjab"
"091","Nathan Rimmington","Bowler","team_punjab"
"092","Nitin Saini","Batsman","team_punjab"
"093","Rajagopal Sathish","Allrounder","team_punjab"
"094","Shalabh Srivastava","Bowler","team_punjab"
"095","Sunny Singh","Batsman","team_punjab"
"096","Paul Valthaty","Batsman","team_punjab"
"097","Gautam Gambhir","Top-order batsman","team_kolkata"
"098","Sarabjit Ladda","Bowler","team_kolkata"
"099","Lakshmipathy Balaji","Bowler","team_kolkata"
"100","Rajat Bhatia","Allrounder","team_kolkata"
"101","Manvinder  Bisla","Wicketkeeper","team_kolkata"
"102","Debabrata Das","Batsman","team_kolkata"
"103","Marchant De Lange","Bowler","team_kolkata"
"104","Brad Haddin","Wicketkeeper batsman","team_kolkata"
"105","Iqbal Abdulla","Allrounder","team_kolkata"
"106","Chirag Jani","Batsman","team_kolkata"
"107","jacques Kallis","Allrounder","team_kolkata"
"108","Brett Lee","Bowler","team_kolkata"
"109","Brendon McCullum","Wicketkeeper batsman","team_kolkata"
"110","Eoin Morgan","Middle-order batsman","team_kolkata"
"111","Sunil Narine","Bowler","team_kolkata"
"112","Yusuf Pathan","Allrounder","team_kolkata"
"113","James Pattinson","Bowler","team_kolkata"
"114","Sanju Samson","Batsman","team_kolkata"
"115","Pradeep Sangwan","Bowler","team_kolkata"
"116","Iresh Saxena","Bowler","team_kolkata"
"117","Shami Ahmed","Bowler","team_kolkata"
"118","Shakib Al Hasan","Allrounder","team_kolkata"
"119","Laxmi Shukla","Allrounder","team_kolkata"
"120","Ryan ten Doeschate","Allrounder","team_kolkata"
"121","Manoj Tiwary","Batsman","team_kolkata"
"122","Jaydev Unadkat","Bowler","team_kolkata"
"123","Kumar Sangakkara","Wicketkeeper batsman","team_hyderabad"
"124","Ashish Reddy","Bowler","team_hyderabad"
"125","Anand Rajan","Bowler","team_hyderabad"
"126","Ankit Sharma","Bowler","team_hyderabad"
"127","Tekkami Atchuta Rao","Bowler","team_hyderabad"
"128","Akash Bhandari","Bowler","team_hyderabad"
"129","Darren Bravo","Batsman","team_hyderabad"
"130","Bharat Chipli","Batsman","team_hyderabad"
"131","Daniel Christian","Allrounder","team_hyderabad"
