"DATE";"MATCH START TIME IST";"TEAM ONE";"TEAM TWO"
"Wed Apr 4";"20:00";"Chennai";"Mumbai"
"Thu Apr 5";"20:00";"Kolkata";"Delhi"
"Fri Apr 6";"16:00";"Mumbai";"Pune"
"Fri Apr 6";"20:00";"Rajasthan";"Punjab"
"Sat Apr 7";"16:00";"Bangalore";"Delhi"
"Sat Apr 7";"20:00";"Hyderabad";"Chennai"
"Sun Apr 8";"16:00";"Rajasthan";"Kolkata"
"Sun Apr 8";"20:00";"Pune";"Punjab"
"Mon Apr 9";"20:00";"Hyderabad";"Mumbai"
"Tue Apr 10";"16:00";"Bangalore";"Kolkata"
"Tue Apr 10";"20:00";"Delhi";"Chennai"
"Wed Apr 11";"20:00";"Mumbai";"Rajasthan"
"Thu Apr 12";"16:00";"Chennai";"Bangalore"
"Thu Apr 12";"20:00";"Punjab";"Pune"
"Fri Apr 13";"20:00";"Kolkata";"Rajasthan"
"Sat Apr 14";"20:00";"Pune";"Chennai"
"Sun Apr 15";"16:00";"Kolkata";"Punjab"
"Sun Apr 15";"20:00";"Bangalore";"Rajasthan"
"Mon Apr 16";"20:00";"Mumbai";"Delhi"
"Tue Apr 17";"16:00";"Rajasthan";"Hyderabad"
"Tue Apr 17";"20:00";"Bangalore";"Pune"
"Wed Apr 18";"20:00";"Punjab";"Kolkata"
"Thu Apr 19";"16:00";"Delhi";"Hyderabad"
"Thu Apr 19";"20:00";"Chennai";"Pune"
"Fri Apr 20";"20:00";"Punjab";"Bangalore"
"Sat Apr 21";"16:00";"Chennai";"Rajasthan"
"Sat Apr 21";"20:00";"Delhi";"Pune"
"Sun Apr 22";"16:00";"Mumbai";"Punjab"
"Sun Apr 22";"20:00";"Hyderabad";"Kolkata"
"Mon Apr 23";"20:00";"Rajasthan";"Bangalore"
"Tue Apr 24";"16:00";"Pune";"Delhi"
"Tue Apr 24";"20:00";"Kolkata";"Hyderabad"
"Wed Apr 25";"16:00";"Punjab";"Mumbai"
"Wed Apr 25";"20:00";"Bangalore";"Chennai"
"Thu Apr 26";"20:00";"Pune";"Hyderabad"
"Fri Apr 27";"20:00";"Delhi";"Mumbai"
"Sat Apr 28";"16:00";"Chennai";"Punjab"
"Sat Apr 28";"20:00";"Kolkata";"Bangalore"
"Sun Apr 29";"16:00";"Delhi";"Rajasthan"
"Sun Apr 29";"20:00";"Mumbai";"Hyderabad"
"Mon Apr 30";"20:00";"Chennai";"Kolkata"
"Tue May 1";"16:00";"Hyderabad";"Pune"
"Tue May 1";"20:00";"Rajasthan";"Delhi"
"Wed May 2";"20:00";"Bangalore";"Punjab"
"Thu May 3";"16:00";"Pune";"Mumbai"
"Fri May 4";"20:00";"Chennai";"Hyderabad"
"Sat May 5";"16:00";"Kolkata";"Pune"
"Sat May 5";"20:00";"Punjab";"Rajasthan"
"Sun May 6";"16:00";"Mumbai";"Chennai"
"Sun May 6";"20:00";"Bangalore";"Hyderabad"
"Mon May 7";"20:00";"Delhi";"Kolkata"
"Tue May 8";"16:00";"Pune";"Rajasthan"
"Tue May 8";"20:00";"Hyderabad";"Punjab"
"Wed May 9";"20:00";"Mumbai";"Bangalore"
"Thu May 10";"16:00";"Hyderabad";"Delhi"
"Thu May 10";"20:00";"Rajasthan";"Chennai"
"Fri May 11";"20:00";"Pune";"Bangalore"
"Sat May 12";"16:00";"Kolkata";"Mumbai"
"Sat May 12";"20:00";"Chennai";"Delhi"
"Sun May 13";"16:00";"Rajasthan";"Pune"
"Sun May 13";"20:00";"Punjab";"Hyderabad"
"Mon May 14";"16:00";"Bangalore";"Mumbai"
"Mon May 14";"20:00";"Kolkata";"Chennai"
"Tue May 15";"20:00";"Delhi";"Punjab"
"Wed May 16";"20:00";"Mumbai";"Kolkata"
"Thu May 17";"16:00";"Punjab";"Chennai"
"Thu May 17";"20:00";"Delhi";"Bangalore"
"Fri May 18";"20:00";"Hyderabad";"Rajasthan"
"Sat May 19";"16:00";"Punjab";"Delhi"
"Sat May 19";"20:00";"Pune";"Kolkata"
"Sun May 20";"16:00";"Hyderabad";"Bangalore"
"Sun May 20";"20:00";"Rajasthan";"Mumbai"
