"DATE";"MATCH START TIME IST";"TEAM ONE";"TEAM TWO"
"Wed Apr 4";"20:00";"Chennai Super Kings";"Mumbai Indians"
"Thu Apr 5";"20:00";"Kolkata Knight Riders";"Delhi Daredevils"
"Fri Apr 6";"16:00";"Mumbai Indians";"Pune Warriors"
"Fri Apr 6";"20:00";"Rajasthan Royals";"Kings XI Punjab"
"Sat Apr 7";"16:00";"Royal Challengers Bangalore";"Delhi Daredevils"
"Sat Apr 7";"20:00";"Deccan Chargers";"Chennai Super Kings"
"Sun Apr 8";"16:00";"Rajasthan Royals";"Kolkata Knight Riders"
"Sun Apr 8";"20:00";"Pune Warriors";"Kings XI Punjab"
"Mon Apr 9";"20:00";"Deccan Chargers";"Mumbai Indians"
"Tue Apr 10";"16:00";"Royal Challengers Bangalore";"Kolkata Knight Riders"
"Tue Apr 10";"20:00";"Delhi Daredevils";"Chennai Super Kings"
"Wed Apr 11";"20:00";"Mumbai Indians";"Rajasthan Royals"
"Thu Apr 12";"16:00";"Chennai Super Kings";"Royal Challengers Bangalore"
"Thu Apr 12";"20:00";"Kings XI Punjab";"Pune Warriors"
"Fri Apr 13";"20:00";"Kolkata Knight Riders";"Rajasthan Royals"
"Sat Apr 14";"20:00";"Pune Warriors";"Chennai Super Kings"
"Sun Apr 15";"16:00";"Kolkata Knight Riders";"Kings XI Punjab"
"Sun Apr 15";"20:00";"Royal Challengers Bangalore";"Rajasthan Royals"
"Mon Apr 16";"20:00";"Mumbai Indians";"Delhi Daredevils"
"Tue Apr 17";"16:00";"Rajasthan Royals";"Deccan Chargers"
"Tue Apr 17";"20:00";"Royal Challengers Bangalore";"Pune Warriors"
"Wed Apr 18";"20:00";"Kings XI Punjab";"Kolkata Knight Riders"
"Thu Apr 19";"16:00";"Delhi Daredevils";"Deccan Chargers"
"Thu Apr 19";"20:00";"Chennai Super Kings";"Pune Warriors"
"Fri Apr 20";"20:00";"Kings XI Punjab";"Royal Challengers Bangalore"
"Sat Apr 21";"16:00";"Chennai Super Kings";"Rajasthan Royals"
"Sat Apr 21";"20:00";"Delhi Daredevils";"Pune Warriors"
"Sun Apr 22";"16:00";"Mumbai Indians";"Kings XI Punjab"
"Sun Apr 22";"20:00";"Deccan Chargers";"Kolkata Knight Riders"
"Mon Apr 23";"20:00";"Rajasthan Royals";"Royal Challengers Bangalore"
"Tue Apr 24";"16:00";"Pune Warriors";"Delhi Daredevils"
"Tue Apr 24";"20:00";"Kolkata Knight Riders";"Deccan Chargers"
"Wed Apr 25";"16:00";"Kings XI Punjab";"Mumbai Indians"
"Wed Apr 25";"20:00";"Royal Challengers Bangalore";"Chennai Super Kings"
"Thu Apr 26";"20:00";"Pune Warriors";"Deccan Chargers"
"Fri Apr 27";"20:00";"Delhi Daredevils";"Mumbai Indians"
"Sat Apr 28";"16:00";"Chennai Super Kings";"Kings XI Punjab"
"Sat Apr 28";"20:00";"Kolkata Knight Riders";"Royal Challengers Bangalore"
"Sun Apr 29";"16:00";"Delhi Daredevils";"Rajasthan Royals"
"Sun Apr 29";"20:00";"Mumbai Indians";"Deccan Chargers"
"Mon Apr 30";"20:00";"Chennai Super Kings";"Kolkata Knight Riders"
"Tue May 1";"16:00";"Deccan Chargers";"Pune Warriors"
"Tue May 1";"20:00";"Rajasthan Royals";"Delhi Daredevils"
"Wed May 2";"20:00";"Royal Challengers Bangalore";"Kings XI Punjab"
"Thu May 3";"16:00";"Pune Warriors";"Mumbai Indians"
"Fri May 4";"20:00";"Chennai Super Kings";"Deccan Chargers"
"Sat May 5";"16:00";"Kolkata Knight Riders";"Pune Warriors"
"Sat May 5";"20:00";"Kings XI Punjab";"Rajasthan Royals"
"Sun May 6";"16:00";"Mumbai Indians";"Chennai Super Kings"
"Sun May 6";"20:00";"Royal Challengers Bangalore";"Deccan Chargers"
"Mon May 7";"20:00";"Delhi Daredevils";"Kolkata Knight Riders"
"Tue May 8";"16:00";"Pune Warriors";"Rajasthan Royals"
"Tue May 8";"20:00";"Deccan Chargers";"Kings XI Punjab"
"Wed May 9";"20:00";"Mumbai Indians";"Royal Challengers Bangalore"
"Thu May 10";"16:00";"Deccan Chargers";"Delhi Daredevils"
"Thu May 10";"20:00";"Rajasthan Royals";"Chennai Super Kings"
"Fri May 11";"20:00";"Pune Warriors";"Royal Challengers Bangalore"
"Sat May 12";"16:00";"Kolkata Knight Riders";"Mumbai Indians"
"Sat May 12";"20:00";"Chennai Super Kings";"Delhi Daredevils"
"Sun May 13";"16:00";"Rajasthan Royals";"Pune Warriors"
"Sun May 13";"20:00";"Kings XI Punjab";"Deccan Chargers"
"Mon May 14";"16:00";"Royal Challengers Bangalore";"Mumbai Indians"
"Mon May 14";"20:00";"Kolkata Knight Riders";"Chennai Super Kings"
"Tue May 15";"20:00";"Delhi Daredevils";"Kings XI Punjab"
"Wed May 16";"20:00";"Mumbai Indians";"Kolkata Knight Riders"
"Thu May 17";"16:00";"Kings XI Punjab";"Chennai Super Kings"
"Thu May 17";"20:00";"Delhi Daredevils";"Royal Challengers Bangalore"
"Fri May 18";"20:00";"Deccan Chargers";"Rajasthan Royals"
"Sat May 19";"16:00";"Kings XI Punjab";"Delhi Daredevils"
"Sat May 19";"20:00";"Pune Warriors";"Kolkata Knight Riders"
"Sun May 20";"16:00";"Deccan Chargers";"Royal Challengers Bangalore"
"Sun May 20";"20:00";"Rajasthan Royals";"Mumbai Indians"
